homs 2066
full order 12 3d 36 {'char0': 36, 'char2': 36, 'char3': 36} gens [[0, 2, 3, 1], [0, 1, 2, 3], [1, 2, 0, 3], [0, 1, 2, 3]]
full order 12 3d 36 {'char0': 36, 'char2': 36, 'char3': 36} gens [[0, 2, 3, 1], [0, 1, 2, 3], [1, 2, 0, 3], [2, 0, 1, 3]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 1], [0, 1, 2, 3], [1, 3, 0, 2], [0, 1, 2, 3]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 1], [0, 1, 2, 3], [1, 3, 0, 2], [3, 2, 1, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 2, 3, 1], [0, 1, 2, 3], [0, 1, 2, 3]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 2, 3, 1], [0, 1, 2, 3], [0, 2, 3, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 2, 3, 1], [0, 1, 2, 3], [0, 3, 1, 2]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 2, 3, 1], [0, 2, 3, 1], [0, 1, 3, 2], [0, 1, 2, 3]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 2, 3, 1], [0, 2, 3, 1], [0, 1, 2, 3]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 2, 3, 1], [0, 2, 3, 1], [0, 2, 3, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 2, 3, 1], [0, 2, 3, 1], [0, 3, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 2, 3, 1], [0, 3, 1, 2], [0, 1, 2, 3]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 2, 3, 1], [0, 3, 1, 2], [0, 2, 3, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 2, 3, 1], [0, 3, 1, 2], [0, 3, 1, 2]]
full order 12 3d 36 {'char0': 36, 'char2': 36, 'char3': 36} gens [[0, 2, 3, 1], [0, 2, 3, 1], [1, 2, 0, 3], [0, 1, 2, 3]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 1], [0, 2, 3, 1], [1, 3, 0, 2], [0, 1, 2, 3]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 3, 1, 2], [0, 1, 2, 3], [0, 1, 2, 3]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 3, 1, 2], [0, 1, 2, 3], [0, 2, 3, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 3, 1, 2], [0, 1, 2, 3], [0, 3, 1, 2]]
full order 12 3d 36 {'char0': 36, 'char2': 36, 'char3': 36} gens [[0, 2, 3, 1], [0, 3, 1, 2], [0, 1, 2, 3], [1, 3, 2, 0]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 3, 1, 2], [0, 2, 3, 1], [0, 1, 2, 3]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 3, 1, 2], [0, 2, 3, 1], [0, 2, 3, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 3, 1, 2], [0, 2, 3, 1], [0, 3, 1, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 3, 1, 2], [0, 3, 1, 2], [0, 1, 2, 3]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 3, 1, 2], [0, 3, 1, 2], [0, 2, 3, 1]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 2, 3, 1], [0, 3, 1, 2], [0, 3, 1, 2], [0, 3, 1, 2]]
full order 12 3d 36 {'char0': 36, 'char2': 36, 'char3': 36} gens [[1, 0, 3, 2], [0, 1, 2, 3], [0, 1, 2, 3], [0, 2, 3, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [0, 1, 2, 3], [0, 1, 2, 3], [2, 3, 1, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [0, 1, 2, 3], [1, 0, 3, 2], [2, 3, 1, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [0, 1, 2, 3], [2, 3, 1, 0], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [0, 1, 2, 3], [2, 3, 1, 0], [1, 0, 3, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [0, 1, 2, 3], [2, 3, 1, 0], [2, 3, 1, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [0, 1, 2, 3], [2, 3, 1, 0], [3, 2, 0, 1]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[1, 0, 3, 2], [0, 1, 3, 2], [0, 1, 2, 3], [0, 2, 3, 1]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [0, 1, 3, 2], [0, 1, 2, 3], [2, 3, 0, 1]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [0, 1, 3, 2], [0, 1, 2, 3], [2, 3, 1, 0]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [0, 1, 3, 2], [1, 0, 3, 2], [2, 3, 0, 1]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [0, 1, 3, 2], [1, 0, 3, 2], [2, 3, 1, 0]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [0, 1, 3, 2], [2, 3, 0, 1], [0, 1, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [0, 1, 3, 2], [2, 3, 0, 1], [1, 0, 3, 2]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [0, 1, 3, 2], [2, 3, 0, 1], [2, 3, 0, 1]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [0, 1, 3, 2], [2, 3, 0, 1], [3, 2, 1, 0]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [0, 1, 3, 2], [2, 3, 1, 0], [0, 1, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [0, 1, 3, 2], [2, 3, 1, 0], [1, 0, 3, 2]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [0, 1, 3, 2], [2, 3, 1, 0], [2, 3, 1, 0]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [0, 1, 3, 2], [2, 3, 1, 0], [3, 2, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [1, 0, 3, 2], [0, 1, 2, 3], [2, 3, 1, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [1, 0, 3, 2], [1, 0, 3, 2], [2, 3, 1, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [1, 0, 3, 2], [2, 3, 1, 0], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [1, 0, 3, 2], [2, 3, 1, 0], [1, 0, 3, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [1, 0, 3, 2], [2, 3, 1, 0], [2, 3, 1, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [1, 0, 3, 2], [2, 3, 1, 0], [3, 2, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [0, 1, 2, 3], [0, 1, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [2, 3, 1, 0], [0, 1, 2, 3], [0, 1, 3, 2]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[1, 0, 3, 2], [2, 3, 1, 0], [0, 1, 2, 3], [0, 2, 3, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [0, 1, 2, 3], [1, 0, 3, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [0, 1, 2, 3], [2, 3, 1, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [0, 1, 2, 3], [3, 2, 0, 1]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [2, 3, 1, 0], [0, 1, 3, 2], [0, 1, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [2, 3, 1, 0], [0, 1, 3, 2], [0, 1, 3, 2]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [2, 3, 1, 0], [0, 1, 3, 2], [1, 0, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [2, 3, 1, 0], [0, 1, 3, 2], [1, 0, 3, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [1, 0, 3, 2], [0, 1, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 0, 3, 2], [2, 3, 1, 0], [1, 0, 3, 2], [0, 1, 3, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [1, 0, 3, 2], [1, 0, 3, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [1, 0, 3, 2], [2, 3, 1, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [1, 0, 3, 2], [3, 2, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [2, 3, 1, 0], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [2, 3, 1, 0], [1, 0, 3, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [2, 3, 1, 0], [2, 3, 1, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [2, 3, 1, 0], [3, 2, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [3, 2, 0, 1], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [3, 2, 0, 1], [1, 0, 3, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [3, 2, 0, 1], [2, 3, 1, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 0, 3, 2], [2, 3, 1, 0], [3, 2, 0, 1], [3, 2, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [0, 1, 2, 3], [0, 1, 2, 3]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[1, 2, 3, 0], [0, 1, 2, 3], [0, 1, 2, 3], [0, 1, 3, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [0, 1, 2, 3], [1, 2, 3, 0]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[1, 2, 3, 0], [0, 1, 2, 3], [0, 1, 2, 3], [1, 3, 0, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [0, 1, 2, 3], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [0, 1, 2, 3], [3, 0, 1, 2]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[1, 2, 3, 0], [0, 1, 2, 3], [0, 3, 1, 2], [0, 1, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 2, 3, 0], [0, 1, 2, 3], [0, 3, 2, 1], [0, 1, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 2, 3, 0], [0, 1, 2, 3], [0, 3, 2, 1], [2, 3, 0, 1]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[1, 2, 3, 0], [0, 1, 2, 3], [1, 0, 3, 2], [0, 1, 3, 2]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[1, 2, 3, 0], [0, 1, 2, 3], [1, 0, 3, 2], [2, 3, 1, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [1, 2, 3, 0], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [1, 2, 3, 0], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [1, 2, 3, 0], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [1, 2, 3, 0], [3, 0, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [2, 3, 0, 1], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [2, 3, 0, 1], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [2, 3, 0, 1], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [2, 3, 0, 1], [3, 0, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [3, 0, 1, 2], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [3, 0, 1, 2], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [3, 0, 1, 2], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [0, 1, 2, 3], [3, 0, 1, 2], [3, 0, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [0, 1, 2, 3], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [0, 1, 2, 3], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [0, 1, 2, 3], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [0, 1, 2, 3], [3, 0, 1, 2]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[1, 2, 3, 0], [1, 2, 3, 0], [0, 3, 1, 2], [0, 1, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 2, 3, 0], [1, 2, 3, 0], [0, 3, 2, 1], [0, 1, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 2, 3, 0], [1, 2, 3, 0], [0, 3, 2, 1], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [1, 2, 3, 0], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [1, 2, 3, 0], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [1, 2, 3, 0], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [1, 2, 3, 0], [3, 0, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [2, 3, 0, 1], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [2, 3, 0, 1], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [2, 3, 0, 1], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [2, 3, 0, 1], [3, 0, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [3, 0, 1, 2], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [3, 0, 1, 2], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [3, 0, 1, 2], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [1, 2, 3, 0], [3, 0, 1, 2], [3, 0, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [0, 1, 2, 3], [0, 1, 2, 3]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[1, 2, 3, 0], [2, 3, 0, 1], [0, 1, 2, 3], [0, 1, 3, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [0, 1, 2, 3], [1, 2, 3, 0]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[1, 2, 3, 0], [2, 3, 0, 1], [0, 1, 2, 3], [1, 3, 0, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [0, 1, 2, 3], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [0, 1, 2, 3], [3, 0, 1, 2]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 2, 3, 0], [2, 3, 0, 1], [0, 3, 2, 1], [0, 1, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[1, 2, 3, 0], [2, 3, 0, 1], [0, 3, 2, 1], [2, 3, 0, 1]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[1, 2, 3, 0], [2, 3, 0, 1], [1, 0, 3, 2], [0, 1, 3, 2]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[1, 2, 3, 0], [2, 3, 0, 1], [1, 0, 3, 2], [2, 3, 1, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [1, 2, 3, 0], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [1, 2, 3, 0], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [1, 2, 3, 0], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [1, 2, 3, 0], [3, 0, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [2, 3, 0, 1], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [2, 3, 0, 1], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [2, 3, 0, 1], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [2, 3, 0, 1], [3, 0, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [3, 0, 1, 2], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [3, 0, 1, 2], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [3, 0, 1, 2], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [2, 3, 0, 1], [3, 0, 1, 2], [3, 0, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [0, 1, 2, 3], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [0, 1, 2, 3], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [0, 1, 2, 3], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [0, 1, 2, 3], [3, 0, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [1, 2, 3, 0], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [1, 2, 3, 0], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [1, 2, 3, 0], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [1, 2, 3, 0], [3, 0, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [2, 3, 0, 1], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [2, 3, 0, 1], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [2, 3, 0, 1], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [2, 3, 0, 1], [3, 0, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [3, 0, 1, 2], [0, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [3, 0, 1, 2], [1, 2, 3, 0]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [3, 0, 1, 2], [2, 3, 0, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[1, 2, 3, 0], [3, 0, 1, 2], [3, 0, 1, 2], [3, 0, 1, 2]]
distinct images tested: 315
